City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Pahrump,US,2022-04-14 21:38:31,36.2083,-115.9839,71.44,15,100,15.99
193,Salta,AR,2022-04-14 21:38:31,-24.7859,-65.4117,59.59,88,100,5.75
194,Marsabit,KE,2022-04-14 21:38:32,2.3284,37.9899,68.29,75,95,9.73
195,Mikhaylov,RU,2022-04-14 21:38:32,54.2292,39.0186,37.31,81,1,7.25
196,Talnakh,RU,2022-04-14 21:38:32,69.4865,88.3972,23.31,88,100,11.5
197,Sistranda,NO,2022-04-14 21:38:33,63.7256,8.834,37.36,70,12,15.26
198,Portobelo,PA,2022-04-14 21:38:33,9.55,-79.65,85.96,85,55,12.5
199,Kahului,US,2022-04-14 21:35:48,20.8947,-156.47,84.22,62,20,23.02
200,Arraial Do Cabo,BR,2022-04-14 21:38:34,-22.9661,-42.0278,76.96,88,0,11.5
201,Mnogovershinnyy,RU,2022-04-14 21:38:34,53.9353,139.9242,21.94,85,45,6.55
202,Cabo San Lucas,MX,2022-04-14 21:38:34,22.8909,-109.9124,83.61,50,40,11.5
203,Saint George,US,2022-04-14 21:35:47,37.1041,-113.5841,72.63,10,0,5.01
204,Muzhi,RU,2022-04-14 21:38:35,65.3667,64.6667,28.47,70,83,14.63
205,Betamcherla,IN,2022-04-14 21:38:35,15.4667,78.1667,80.44,65,81,7.4
206,Sintea Mare,RO,2022-04-14 21:38:36,46.5167,21.6,53.71,63,6,3.47
207,Vila Franca Do Campo,PT,2022-04-14 21:38:36,37.7167,-25.4333,61.21,92,100,8.9
208,Ventspils,LV,2022-04-14 21:38:36,57.3894,21.5606,40.93,100,100,4.61
209,Boali,CF,2022-04-14 21:38:37,4.8005,18.1275,68.59,97,62,0.4
210,Porto Novo,BJ,2022-04-14 21:38:37,6.4965,2.6036,82.22,79,95,7.27
211,Enumclaw,US,2022-04-14 21:38:38,47.2043,-121.9915,47.91,69,99,5.99
212,Marand,IR,2022-04-14 21:38:38,38.4329,45.7749,43.11,40,36,3.53
213,Morondava,MG,2022-04-14 21:38:38,-20.2833,44.2833,77.85,75,93,4.88
214,Lambarene,GA,2022-04-14 21:38:38,-0.7001,10.2406,75.13,94,91,0.85
215,Bardiyah,LY,2022-04-14 21:38:39,31.7561,25.0865,60.21,73,100,16.28
216,Panama City,PA,2022-04-14 21:35:19,8.9936,-79.5197,88.38,71,40,5.75
217,Tiruchchirappalli,IN,2022-04-14 21:38:39,10.8167,78.6833,82.51,74,75,9.22
218,Ransang,PH,2022-04-14 21:38:40,8.9603,117.5828,77.94,86,46,1.03
219,Indio,US,2022-04-14 21:38:40,33.7206,-116.2156,84.54,10,0,5.99
220,Jamestown,US,2022-04-14 21:36:13,42.097,-79.2353,54.52,17,0,21.85
221,Lagos De Moreno,MX,2022-04-14 21:38:41,21.35,-101.9167,85.28,16,100,5.82
222,Alice Springs,AU,2022-04-14 21:38:41,-23.7,133.8833,69.22,32,6,0.0
223,Lazurne,UA,2022-04-14 21:38:41,46.084,32.5295,50.13,79,16,1.81
224,Westport,US,2022-04-14 21:38:42,41.1415,-73.3579,74.44,66,97,4.0
225,Mega,ET,2022-04-14 21:38:42,4.05,38.3,61.95,84,98,6.15
226,Port Antonio,JM,2022-04-14 21:39:42,18.18,-76.4612,84.99,68,0,15.43
227,Negombo,LK,2022-04-14 21:39:43,7.2083,79.8358,78.85,100,20,4.61
